ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots
2990000,4,4,6293,34848,1925,89,7
99900,3,1,1134,5662,1902,112,2
399900,3,3,2888,3920,1906,108,1
299900,3,1.5,1402,5227,1904,110,3
76900,2,1,1125,6098,1900,114,1
79900,4,1,1280,4791,1909,105,2
234900,3,1.75,1841,6534,1961,53,1
57900,2,1,550,5662,1925,89,1
205000,3,2.25,1651,5662,2013,1,2
80000,3,1,1240,4791,1926,88,2
84900,3,1,1234,5227,1925,89,1
79900,3,1.75,1325,4791,1921,93,2
124900,3,1.75,1254,5227,1893,121,1
135000,2,0.75,750,4791,1912,102,1
184900,4,2,1594,4791,1906,108,0
94900,4,1.75,1326,5227,1924,90,1
239900,3,1.75,1736,8276,1950,64,2
175000,3,2.25,1828,5662,1910,104,2
64900,5,1,1320,5662,1912,102,2
119900,2,1,786,4791,1940,74,2
128900,3,1.75,1200,5227,1926,88,3
159786,3,1.75,1480,5227,1912,102,1
239900,2,1,1037,6969,1909,105,2
149000,2,1,752,6098,1915,99,2
109900,3,1.75,1358,,1923,91,2
145000,4,1.75,1921,4791,1909,105,1
79900,3,1.75,1793,5227,1939,75,1
239900,4,1,1900,9583,1952,62,2
74900,2,1.25,1123,4791,1889,125,2
349900,3,2,1578,4791,1915,99,3
77900,3,1.75,1298,5227,1914,100,2
154900,3,1,1378,6534,1903,111,1
92500,4,1.75,1924,4791,1923,91,3
1250000,4,3,4570,10890,1929,85,2
79900,4,1.5,1292,4356,1922,92,1
224900,3,2,2110,5662,1900,114,2
162900,2,1,868,5227,1916,98,1
225000,3,2,1344,7840,1903,111,4
54900,3,1.5,1207,5662,1917,97,2
195000,3,1,1345,4791,1929,85,1
69900,3,1,1128,5227,1914,100,1
109900,3,1,1072,5227,1926,88,0
1895000,4,3.75,6330,17424,2011,3,3
150000,2,1.75,1961,5662,1937,77,2
171900,2,1,1004,6098,1951,63,3
194900,3,1,1836,5227,1913,101,2
84900,3,1,1604,4791,1915,99,1
113900,4,2,1660,4791,1884,130,2
274900,2,1.75,930,4791,1948,66,1
65000,2,1,1200,5662,1916,98,1
189900,3,1.25,1549,,1949,65,2
223900,4,2,1904,6098,1910,104,2
302000,3,1.75,1804,5227,1916,98,1
224900,4,1.75,1852,6098,1956,58,2
179900,3,1.75,1914,6098,1925,89,2
69900,2,1.5,1264,5227,1926,88,1
419000,3,2,1495,5662,1954,60,2
215900,4,1.75,2384,6534,1985,29,2
90000,3,1,1847,5227,1941,73,2
32500,2,2,858,6534,1913,101,2
64000,3,1,1794,,1947,67,2
205000,4,1.75,1796,23958,1956,58,1
109000,1,1,1122,5227,1920,94,2
87900,2,1,1150,7840,1900,114,1
129900,3,2,1540,8276,1924,90,2
164900,3,1.75,1430,5227,1926,88,2
134900,3,1.75,1662,4356,1976,38,2
143900,2,1,1152,6534,1950,64,1
449000,3,3.5,2588,5662,1999,15,4
279900,4,1.5,2568,3049,1907,107,0
199900,3,1,1092,3484,1917,97,0
229000,4,1.75,1435,5227,1909,105,2
189900,3,1.75,1806,4791,1957,57,1
184900,2,1,850,5227,1925,89,2
234900,4,1.75,1612,6098,1966,48,2
129900,2,1,1004,6534,1981,33,2
79900,3,1,1279,4791,1916,98,1
129900,3,2.25,2302,5227,1906,108,4
34900,2,1,907,3571,1909,105,0
269900,3,1,1469,5662,1929,85,1
229900,4,3,2312,4356,1914,100,1
75000,2,1,640,4791,1956,58,1
134900,3,1,1295,5227,1928,86,1
145000,3,1.5,1592,,1927,87,2
139900,3,1,1380,5662,1945,69,1
149900,3,1,1292,5227,1942,72,2
130000,3,1,1330,5227,1939,75,2
112500,3,1,1525,5227,1885,129,2
89900,3,1,1036,4791,1908,106,2
169900,4,1.5,1470,5227,1958,56,1
159900,2,1.75,1095,5662,1920,94,2
78000,3,1.5,1580,6098,1915,99,1
50000,3,2,1080,4791,1898,116,2
59900,4,1.5,1922,3484,1900,114,0
189900,4,1.5,1344,8276,1905,109,2
135900,3,1.5,1420,8712,1910,104,2
596370,4,3.25,2681,3920,2012,2,2
139900,1,1.5,830,,1916,98,1
150000,4,1,1842,4791,1910,104,2
949900,4,3.5,3625,6098,1979,35,2
58000,3,1,1119,4791,1923,91,2
119900,3,1.5,1504,3484,1884,130,0
99900,1,1,764,6098,1916,98,1
824110,4,3,3298,7840,2014,0,2
189900,3,1.5,1392,,1916,98,1
94900,3,1,1080,7840,1950,64,1
154900,4,1.75,2190,5227,1931,83,2
78000,2,1,966,5227,1920,94,1
189995,2,1,1256,4791,1918,96,2
479000,4,1.75,2277,4791,1940,74,2
1789411,3,2.75,2855,3920,2013,1,2
69000,2,1,1060,5227,1925,89,2
1695000,4,4,5581,15245,1929,85,3
182900,2,1.75,2258,5662,1925,89,1
650000,4,3.5,3024,,1946,68,2
129900,5,2,2012,,1922,92,3
164500,2,1,899,5227,1900,114,2
189900,4,3,1768,3920,1909,105,2
189900,3,1,1682,5227,1929,85,2
140000,2,1.5,1366,5227,1921,93,2
95000,2,1,1396,5662,1907,107,2
108000,2,1,1289,4791,1915,99,2
229900,3,1.75,2095,6098,1914,100,1
159777,3,1,1144,5227,1918,96,1
48900,3,1.75,1618,4791,1952,62,2
841100,4,3.25,2894,5662,2014,0,2
665000,4,1.75,2628,10454,1954,60,2
44900,2,1.75,1728,4791,1924,90,2
93408,2,0.75,672,5227,1922,92,1
114900,1,1,632,5227,1917,97,1
